"","speaker","plays","count_speaker","count_plays"
"1",".","ARTAXERXES et Heroisk Skuespill udi Tre ACTER.",1,1
"2","1.","Den politiske kandestøber Komedie",8,1
"3","1. advokat","Barselsstuen Komedie, Den politiske kandestøber Komedie, Den stundesløse Komedie i 3 akter, Jeppe på Bjerget eller Den forvandlede bonde",87,4
"4","1. advokat/anklageren","Barselsstuen Komedie, Den politiske kandestøber Komedie, Jeppe på Bjerget eller Den forvandlede bonde",30,3
"5","1. bonde","Melampe Tragikomedie",15,1
"6","1. dame","Barselsstuen Komedie",50,1
"7","1. doktor","Jeppe på Bjerget eller Den forvandlede bonde",7,1
"8","1. filosof","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",3,1
"9","1. gaudieb","Pernilles korte frøkenstand Komedie i 3 akter",3,1
"10","1. jøde","Ulysses von Ithacia eller En tysk komedie",1,1
"11","1. købmand","Den 11. juni",5,1
"12","1. komediant","Hekseri eller blind alarm Komedie i 5 akter",31,1
"13","1. kvinde","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",16,1
"14","1. mand","Barselsstuen Komedie, Hekseri eller blind alarm Komedie i 5 akter",15,2
"15","1. officer","Barselsstuen Komedie",10,1
"16","1. pige","Barselsstuen Komedie, Den politiske kandestøber Komedie, Det lykkelige skibbrud Komedie i 5 akter, Hekseri eller blind alarm Komedie i 5 akter, Melampe Tragikomedie, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",111,6
"17","1. proprietær","Den 11. juni",5,1
"18","1. rådsherre","Den pantsatte bondedreng Komedie i 3 akter, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",78,2
"19","1. rådsherreinde","Den politiske kandestøber Komedie",1,1
"20","1. soldat","Hekseri eller blind alarm Komedie i 5 akter",5,1
"21","1. vært","Den pantsatte bondedreng Komedie i 3 akter",5,1
"22","1. vagt","Hekseri eller blind alarm Komedie i 5 akter",5,1
"23","2.","Den politiske kandestøber Komedie",3,1
"24","2. advokat","Barselsstuen Komedie, Den politiske kandestøber Komedie, Jeppe på Bjerget eller Den forvandlede bonde",34,3
"25","2. bonde","Melampe Tragikomedie",10,1
"26","2. dame","Barselsstuen Komedie",30,1
"27","2. doktor","Jeppe på Bjerget eller Den forvandlede bonde",7,1
"28","2. filosof","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",3,1
"29","2. gaudieb","Pernilles korte frøkenstand Komedie i 3 akter",4,1
"30","2. jøde","Ulysses von Ithacia eller En tysk komedie",11,1
"31","2. købmand","Den 11. juni",5,1
"32","2. komediant","Hekseri eller blind alarm Komedie i 5 akter",14,1
"33","2. kvinde","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",16,1
"34","2. mand","Barselsstuen Komedie",2,1
"35","2. musikant","Den vægelsindede Komedie i 3 akter",1,1
"36","2. officer","Barselsstuen Komedie",26,1
"37","2. pige","Det lykkelige skibbrud Komedie i 5 akter, Hekseri eller blind alarm Komedie i 5 akter",21,2
"38","2. proprietær","Den 11. juni",6,1
"39","2. rådsherre","Den pantsatte bondedreng Komedie i 3 akter, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",9,2
"40","2. soldat","Hekseri eller blind alarm Komedie i 5 akter",5,1
"41","2. vært","Den pantsatte bondedreng Komedie i 3 akter",5,1
"42","2. vagt","Hekseri eller blind alarm Komedie i 5 akter",2,1
"43","3 mænd","Jeppe på Bjerget eller Den forvandlede bonde",6,1
"44","3. filosof","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",6,1
"45","3. gaudieb","Pernilles korte frøkenstand Komedie i 3 akter",2,1
"46","3. kvinde","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",29,1
"47","3. proprietær","Den 11. juni",1,1
"48","3. rådsherre","Den pantsatte bondedreng Komedie i 3 akter",1,1
"49","abelone","Barselsstuen Komedie, Den vægelsindede Komedie",37,2
"50","abrahams","Den politiske kandestøber Komedie",12,1
"51","abrahams og sanderus","Den politiske kandestøber Komedie",1,1
"52","advokaten","Den politiske kandestøber Komedie, Den stundesløse Komedie i 3 akter",29,2
"53","aesculapius","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",14,1
"54","æsculapius","Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723",1,1
"55","ammen","Barselsstuen Komedie",3,1
"56","andreas","Det arabiske pulver Komedie",15,1
"57","anføreren","Hekseri eller blind alarm Komedie i 5 akter",19,1
"58","anførerne","Ulysses von Ithacia eller En tysk komedie",2,1
"59","anklageren","Hekseri eller blind alarm Komedie i 5 akter",2,1
"60","anklageren1. advokat)","Jeppe på Bjerget eller Den forvandlede bonde",1,1
"61","anne kandestøbers","Barselsstuen Komedie, Den stundesløse Komedie i 3 akter, Julestue Komedie",25,3
"62","anneke","Den politiske kandestøber Komedie",16,1
"63","antonius","Den politiske kandestøber Komedie, Jean de France eller Hans Frandsen Komedie",64,2
"64","apelone","Hekseri eller blind alarm Komedie i 5 akter",45,1
"65","apicius","Den vægelsindede Komedie, Den vægelsindede Komedie i 3 akter",167,2
"66","apollo","Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723, Uden hoved og hale Komedie",6,2
"67","arbaces","ARTAXERXES et Heroisk Skuespill udi Tre ACTER.",115,1
"68","arianke","Barselsstuen Komedie, Den politiske kandestøber Komedie",25,2
"69","artabanus","ARTAXERXES et Heroisk Skuespill udi Tre ACTER.",97,1
"70","artabanus og semira.","ARTAXERXES et Heroisk Skuespill udi Tre ACTER.",1,1
"71","artaxerxes","ARTAXERXES et Heroisk Skuespill udi Tre ACTER.",95,1
"72","arv","Den honnette ambition Komedie i 3 akter, Hekseri eller blind alarm Komedie i 5 akter, Henrik og Pernille Komedie i 3 akter, Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer, Jean de France eller Hans Frandsen Komedie, Julestue Komedie, Kilderejsen Komedie i 3 akter, Maskerade Komedie, Republikken eller Det gemene bedste Komedie i 3 akter",353,9
"73","astrologus","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",8,1
"74","asverus","Ulysses von Ithacia eller En tysk komedie",2,1
"75","barberen","Den stundesløse Komedie i 3 akter",6,1
"76","baronen","Den honnette ambition Komedie i 3 akter, Jeppe på Bjerget eller Den forvandlede bonde",86,2
"77","barselskvinden","Barselsstuen Komedie",175,1
"78","bellona","Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723",1,1
"79","betjenten","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter, Hekseri eller blind alarm Komedie i 5 akter",22,2
"80","bogholderen","Den stundesløse Komedie i 3 akter",11,1
"81","bondedrengen/paltsgreven","Den pantsatte bondedreng Komedie i 3 akter, Den stundesløse Komedie i 3 akter, Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter, Ulysses von Ithacia eller En tysk komedie",135,5
"82","bonden","Den pantsatte bondedreng Komedie i 3 akter, Den stundesløse Komedie i 3 akter, Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter, Ulysses von Ithacia eller En tysk komedie",111,5
"83","borgeren","Den politiske kandestøber Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie",17,2
"84","borgmesteren","Den politiske kandestøber Komedie",9,1
"85","borgmesterinden","Den politiske kandestøber Komedie",1,1
"86","børnene","Julestue Komedie",2,1
"87","bremenfeldt","Republikken eller Det gemene bedste Komedie i 3 akter",10,1
"88","byfogeden","Mester Gert Westphaler eller Den meget talende barber Komedie",9,1
"89","chilian","Ulysses von Ithacia eller En tysk komedie",216,1
"90","chiromanticus","Barselsstuen Komedie",18,1
"91","chorus","ARTAXERXES et Heroisk Skuespill udi Tre ACTER.",3,1
"92","christine","Barselsstuen Komedie",7,1
"93","christoff","Den stundesløse Komedie i 3 akter, Den vægelsindede Komedie, Diderich Menschenskræk Komedie i 1 akt, Jacob von Tyboe eller Den stortalende soldat Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie",96,5
"94","christopher","Barselsstuen Komedie, Den vægelsindede Komedie i 3 akter, Julestue Komedie",56,3
"95","claus","Barselsstuen Komedie",9,1
"96","colombine","De usynlige Komedie i 3 akter",49,1
"97","corfitz","Barselsstuen Komedie, Den stundesløse Komedie i 3 akter",221,2
"98","cosmoligoreus","Philosophus i egen indbildning Komedie i 5 akter",223,1
"99","cupido","Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723",1,1
"100","davus","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",145,1
"101","de 2 komedianter","Hekseri eller blind alarm Komedie i 5 akter",1,1
"102","den bevæbnede","Melampe Tragikomedie",9,1
"103","den drukne","Det lykkelige skibbrud Komedie i 5 akter, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",38,2
"104","den fremmede","Den 11. juni, Mester Gert Westphaler eller Den meget talende barber Komedie",12,2
"105","den fremmede person","Hekseri eller blind alarm Komedie i 5 akter",2,1
"106","den usynlige","De usynlige Komedie i 3 akter",79,1
"107","den usynliges broder","De usynlige Komedie i 3 akter",32,1
"108","dido","Ulysses von Ithacia eller En tysk komedie",24,1
"109","diogenes","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",87,1
"110","dobre podolsky","Den honnette ambition Komedie i 3 akter",26,1
"111","doktor","Jeppe på Bjerget eller Den forvandlede bonde",5,1
"112","doktor bombastus","Barselsstuen Komedie, Kilderejsen Komedie i 3 akter, Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",68,3
"113","dommeren","Det lykkelige skibbrud Komedie i 5 akter, Hekseri eller blind alarm Komedie i 5 akter, Jeppe på Bjerget eller Den forvandlede bonde",167,3
"114","don ranudo","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter",166,1
"115","donna maria","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter",9,1
"116","donna olympia","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter",79,1
"117","dorothea","Melampe Tragikomedie",85,1
"118","dorthe","Barselsstuen Komedie",14,1
"119","drengen","Den 11. juni, Den pantsatte bondedreng Komedie i 3 akter, Den politiske kandestøber Komedie, Den vægelsindede Komedie, Den vægelsindede Komedie i 3 akter, Hekseri eller blind alarm Komedie i 5 akter, Jean de France eller Hans Frandsen Komedie, Maskerade Komedie",62,8
"120","eleonora","Uden hoved og hale Komedie",22,1
"121","elisa","Ulysses von Ithacia eller En tysk komedie",18,1
"122","ellen","Barselsstuen Komedie",1,1
"123","else","Barselsstuen Komedie, Julestue Komedie",17,2
"124","elsebet","Den forvandlede brudgom Komedie i 1 akt uden aktører, Jean de France eller Hans Frandsen Komedie",35,2
"125","elvire","Diderich Menschenskræk Komedie i 1 akt",45,1
"126","en af de fremmede","Det arabiske pulver Komedie",1,1
"127","en anden borger","Den politiske kandestøber Komedie",1,1
"128","en anden dreng","Den politiske kandestøber Komedie, Hekseri eller blind alarm Komedie i 5 akter",3,2
"129","en anden vært","Den pantsatte bondedreng Komedie i 3 akter",2,1
"130","en borger","Den politiske kandestøber Komedie",1,1
"131","en gårdskarl","Hekseri eller blind alarm Komedie i 5 akter",6,1
"132","en karl","Maskerade Komedie",2,1
"133","en kavaler","Melampe Tragikomedie",2,1
"134","en officer med knebelsbarter","Barselsstuen Komedie",2,1
"135","en person","Hekseri eller blind alarm Komedie i 5 akter",2,1
"136","en pige","Barselsstuen Komedie, Den politiske kandestøber Komedie, Det lykkelige skibbrud Komedie i 5 akter, Hekseri eller blind alarm Komedie i 5 akter, Melampe Tragikomedie, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",66,6
"137","en ridder","Ulysses von Ithacia eller En tysk komedie",1,1
"138","engelke","Den politiske kandestøber Komedie",5,1
"139","ephraim","Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer",25,1
"140","eraste","Den vægelsindede Komedie i 3 akter",61,1
"141","erastealene)","Den vægelsindede Komedie i 3 akter",3,1
"142","erich madsen","Den stundesløse Komedie i 3 akter",42,1
"143","erik lakaj","Jeppe på Bjerget eller Den forvandlede bonde",7,1
"144","espen","Den vægelsindede Komedie, Den vægelsindede Komedie i 3 akter, Jean de France eller Hans Frandsen Komedie",105,3
"145","euclio","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",5,1
"146","faderen","Den pantsatte bondedreng Komedie i 3 akter",9,1
"147","filosoffen","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",42,1
"148","fiskeren","Melampe Tragikomedie",20,1
"149","flensborgeren","Mester Gert Westphaler eller Den meget talende barber Komedie",20,1
"150","frands","Jean de France eller Hans Frandsen Komedie",97,1
"151","frantz knivsmed","Den politiske kandestøber Komedie",11,1
"152","frantz parykmager","Den politiske kandestøber Komedie",2,1
"153","fremmede","Den 11. juni",12,1
"154","fruen","Barselsstuen Komedie, Det arabiske pulver Komedie, Det lykkelige skibbrud Komedie i 5 akter, Diderich Menschenskræk Komedie i 1 akt, Hekseri eller blind alarm Komedie i 5 akter",43,5
"155","gejsten","Melampe Tragikomedie, Uden hoved og hale Komedie",7,2
"156","gert buntmager","Den politiske kandestøber Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt",252,3
"157","geske","Barselsstuen Komedie, Den politiske kandestøber Komedie",89,2
"158","gilbert","Mester Gert Westphaler eller Den meget talende barber Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt",43,2
"159","gonzalo","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter",22,1
"160","gothard","Barselsstuen Komedie",18,1
"161","gottard","Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt, Pernilles korte frøkenstand Komedie i 3 akter",20,2
"162","gottfried","Det lykkelige skibbrud Komedie i 5 akter",79,1
"163","greven","Den pantsatte bondedreng Komedie i 3 akter",1,1
"164","gunild","Barselsstuen Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt",79,3
"165","gunnild","Uden hoved og hale Komedie",19,1
"166","gusman","Melampe Tragikomedie",13,1
"167","gusmann","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter",38,1
"168","haagen","Uden hoved og hale Komedie",67,1
"169","hadersleveren","Mester Gert Westphaler eller Den meget talende barber Komedie",10,1
"170","hammer","Den danske komedies ligbegængelse Med Thaliæ afskedstale, forestillet til allersidste slutning af de danske aktører den 25. februar 1727",8,1
"171","harlekin","De usynlige Komedie i 3 akter",200,1
"172","helene","Den vægelsindede Komedie i 3 akter, Ulysses von Ithacia eller En tysk komedie",57,2
"173","henning","Julestue Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie",9,2
"174","henrik","Den 11. juni, Den danske komedies ligbegængelse Med Thaliæ afskedstale, forestillet til allersidste slutning af de danske aktører den 25. februar 1727, Den honnette ambition Komedie i 3 akter, Den politiske kandestøber Komedie, Den vægelsindede Komedie i 3 akter, Det arabiske pulver Komedie, Det lykkelige skibbrud Komedie i 5 akter, Diderich Menschenskræk Komedie i 1 akt, Hekseri eller blind alarm Komedie i 5 akter, Henrik og Pernille Komedie i 3 akter, Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer, Kilderejsen Komedie i 3 akter, Maskerade Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt, Pernilles korte frøkenstand Komedie i 3 akter, Republikken eller Det gemene bedste Komedie i 3 akter, Uden hoved og hale Komedie",2068,17
"175","herman von bremenfeld","Den politiske kandestøber Komedie, Hekseri eller blind alarm Komedie i 5 akter, Republikken eller Det gemene bedste Komedie i 3 akter",202,3
"176","herren","Hekseri eller blind alarm Komedie i 5 akter",46,1
"177","holophernes","Ulysses von Ithacia eller En tysk komedie",6,1
"178","hyacinthe","Diderich Menschenskræk Komedie i 1 akt",11,1
"179","indenfor [studerende]","Den 11. juni",7,1
"180","ingeborg","Barselsstuen Komedie",8,1
"181","iris","Ulysses von Ithacia eller En tysk komedie",7,1
"182","isabella","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter",65,1
"183","iversen","Den vægelsindede Komedie",21,1
"184","jacob","Den 11. juni, Erasmus Montanus eller Rasmus Berg Komedie i 5 akter, Jeppe på Bjerget eller Den forvandlede bonde",165,3
"185","jean","Hekseri eller blind alarm Komedie i 5 akter, Jean de France eller Hans Frandsen Komedie",171,2
"186","jens","Den stundesløse Komedie i 3 akter, Jacob von Tyboe eller Den stortalende soldat Komedie",80,2
"187","jens griffel","Den stundesløse Komedie i 3 akter, Jacob von Tyboe eller Den stortalende soldat Komedie",81,2
"188","jeppe","Erasmus Montanus eller Rasmus Berg Komedie i 5 akter, Jeppe på Bjerget eller Den forvandlede bonde",259,2
